REQUEST_ID,USER_ID,REQUEST_TYPE,CREATED_DATE,COMPLETED_DATE,STATUS,PRIORITY
174,2895,Login Issue,5/27/2024,,Open,Low
175,3773,Technical Bug,1/24/2024,,Open,Medium
176,2570,Account Update,5/10/2024,,Open,Medium
177,1960,Login Issue,3/26/2024,4/3/2024,Closed,High
178,4810,Refund Request,3/12/2024,3/13/2024,Closed,Low
179,3660,Login Issue,4/19/2024,,In Progress,Low
180,2485,Login Issue,2/26/2024,3/1/2024,Closed,Medium
181,3690,Payment Issue,4/19/2024,4/28/2024,Closed,Low
182,4840,Payment Issue,4/2/2024,,Open,High
183,2028,Login Issue,3/11/2024,3/12/2024,Closed,Medium
184,4289,Technical Bug,3/10/2024,3/12/2024,Closed,Medium
185,1502,Payment Issue,3/10/2024,,Open,Low
186,3814,Refund Request,3/16/2024,,In Progress,Low
187,1397,Account Update,2/16/2024,2/22/2024,Closed,Medium
188,1870,Payment Issue,3/29/2024,,Open,Medium
189,3842,Login Issue,1/19/2024,,In Progress,High
190,1392,Technical Bug,5/20/2024,,Open,Medium
191,1206,Account Update,2/14/2024,2/18/2024,Closed,High
192,2038,Payment Issue,6/8/2024,6/9/2024,Closed,High
193,2881,Technical Bug,6/6/2024,,Open,Low
194,4625,Technical Bug,3/25/2024,3/29/2024,Closed,High
195,3939,Technical Bug,5/5/2024,5/10/2024,Closed,Low
196,2484,Login Issue,6/18/2024,6/26/2024,Closed,Medium
197,4762,Refund Request,4/18/2024,,Open,Medium
198,4646,Technical Bug,4/17/2024,,Open,Medium
199,1863,Account Update,3/12/2024,,Open,Low
200,3790,Payment Issue,6/18/2024,,In Progress,Medium
201,4312,Account Update,5/14/2024,,Open,High
202,1563,Login Issue,5/10/2024,5/17/2024,Closed,High
203,2020,Login Issue,2/6/2024,,In Progress,Medium
204,1095,Account Update,1/3/2024,1/11/2024,Closed,Low
205,2923,Refund Request,5/25/2024,,In Progress,High
206,2757,Login Issue,5/3/2024,,In Progress,High
207,3532,Login Issue,6/18/2024,6/19/2024,Closed,Low
208,4478,Account Update,5/16/2024,5/26/2024,Closed,Low
209,3278,Login Issue,5/31/2024,,Open,High
210,3796,Refund Request,1/7/2024,,Open,High
211,2678,Refund Request,4/6/2024,4/14/2024,Closed,Low
212,4242,Refund Request,6/18/2024,,Open,High
213,1540,Payment Issue,4/7/2024,4/9/2024,Closed,Medium
214,2059,Refund Request,4/11/2024,,Open,High
215,3572,Refund Request,4/11/2024,,Open,Medium
216,2183,Payment Issue,2/25/2024,2/29/2024,Closed,Medium
217,4910,Technical Bug,5/25/2024,,Open,Low
218,2722,Login Issue,6/15/2024,6/19/2024,Closed,High
219,4314,Refund Request,2/19/2024,,In Progress,Medium
220,4157,Login Issue,6/9/2024,6/10/2024,Closed,High
221,2819,Account Update,1/28/2024,2/6/2024,Closed,Low
222,3625,Login Issue,1/25/2024,,In Progress,Medium
223,3729,Payment Issue,5/21/2024,,Open,Medium
224,3604,Login Issue,3/24/2024,4/1/2024,Closed,Low
225,2597,Login Issue,5/14/2024,,Open,Low
226,4060,Login Issue,5/11/2024,,Open,Low
227,3693,Technical Bug,6/6/2024,,In Progress,Medium
228,1795,Technical Bug,3/2/2024,3/5/2024,Closed,Medium
229,2051,Account Update,6/13/2024,,In Progress,Low
230,2643,Payment Issue,3/25/2024,4/1/2024,Closed,Low
231,4627,Login Issue,3/5/2024,,In Progress,Medium
232,2363,Login Issue,2/21/2024,,In Progress,Low
233,4869,Login Issue,1/3/2024,1/6/2024,Closed,Medium
234,2981,Login Issue,3/17/2024,3/23/2024,Closed,Medium
235,2354,Technical Bug,5/14/2024,5/24/2024,Closed,Medium
236,2663,Account Update,3/10/2024,,In Progress,Medium
237,2529,Refund Request,3/10/2024,,Open,Low
238,3038,Payment Issue,6/10/2024,6/12/2024,Closed,Low
239,4419,Login Issue,4/5/2024,4/8/2024,Closed,High
240,2496,Account Update,1/16/2024,,Open,High
241,4302,Refund Request,5/15/2024,,Open,Medium
242,3237,Account Update,5/28/2024,6/4/2024,Closed,Low
243,4296,Technical Bug,4/30/2024,,In Progress,Medium
244,2408,Refund Request,1/11/2024,1/18/2024,Closed,High
245,2400,Account Update,2/19/2024,2/25/2024,Closed,Medium
246,2306,Technical Bug,3/27/2024,4/2/2024,Closed,High
247,3680,Account Update,1/6/2024,1/9/2024,Closed,Low
248,3675,Account Update,4/19/2024,,In Progress,Medium
249,1972,Refund Request,5/22/2024,5/30/2024,Closed,Medium
250,2768,Technical Bug,5/18/2024,,Open,Medium
251,2282,Login Issue,6/3/2024,,Open,Medium
252,4430,Payment Issue,6/21/2024,,In Progress,Medium
253,1709,Refund Request,6/14/2024,,In Progress,High
254,2479,Technical Bug,1/4/2024,,Open,High
255,2434,Account Update,6/21/2024,,Open,Low
256,1648,Technical Bug,5/17/2024,5/27/2024,Closed,Medium
257,1317,Payment Issue,4/30/2024,5/5/2024,Closed,High
258,4748,Payment Issue,6/5/2024,6/9/2024,Closed,Low
259,4296,Login Issue,5/19/2024,,In Progress,Medium
260,4890,Login Issue,6/16/2024,,In Progress,Low
261,2257,Payment Issue,3/24/2024,,In Progress,Low
262,1683,Refund Request,6/13/2024,6/19/2024,Closed,High
263,1663,Refund Request,1/20/2024,1/28/2024,Closed,Medium
264,2998,Account Update,1/12/2024,1/14/2024,Closed,Medium
265,4898,Login Issue,2/7/2024,2/9/2024,Closed,Low
266,4445,Account Update,6/6/2024,,Open,Low
267,4743,Login Issue,2/16/2024,,Open,High
268,2631,Payment Issue,3/22/2024,3/25/2024,Closed,Medium
269,2495,Refund Request,3/14/2024,3/19/2024,Closed,Low
270,4304,Refund Request,2/11/2024,2/18/2024,Closed,High
271,4763,Payment Issue,1/5/2024,,Open,Medium
272,2136,Account Update,6/24/2024,7/3/2024,Closed,Medium
273,2853,Account Update,4/24/2024,,Open,Medium
274,2520,Technical Bug,5/6/2024,5/12/2024,Closed,Low
275,3489,Login Issue,4/8/2024,4/12/2024,Closed,Medium
276,1563,Account Update,4/12/2024,,In Progress,Medium
277,2291,Payment Issue,6/27/2024,7/1/2024,Closed,Low
278,4581,Account Update,5/19/2024,5/24/2024,Closed,Medium
279,4878,Refund Request,5/17/2024,5/25/2024,Closed,Low
280,4457,Login Issue,2/6/2024,2/7/2024,Closed,Medium
281,4458,Technical Bug,5/4/2024,,Open,Low
282,4184,Login Issue,3/6/2024,3/16/2024,Closed,High
283,2636,Refund Request,3/7/2024,3/9/2024,Closed,High
284,4696,Refund Request,1/14/2024,1/22/2024,Closed,Low
285,3999,Refund Request,2/16/2024,2/24/2024,Closed,High
286,4152,Refund Request,5/27/2024,,In Progress,Medium
287,1698,Payment Issue,4/18/2024,,Open,Medium
288,3160,Technical Bug,4/22/2024,5/1/2024,Closed,High
289,1001,Refund Request,6/28/2024,,In Progress,Low
290,1641,Refund Request,3/8/2024,,In Progress,Low
291,3267,Account Update,4/24/2024,,Open,Low
292,2589,Technical Bug,1/26/2024,,In Progress,Medium
293,1854,Login Issue,2/16/2024,,Open,Low
294,2759,Technical Bug,3/13/2024,3/14/2024,Closed,Medium
295,4296,Technical Bug,1/3/2024,1/12/2024,Closed,Low
296,3432,Technical Bug,5/9/2024,5/14/2024,Closed,Medium
297,4474,Refund Request,6/17/2024,6/27/2024,Closed,Low
298,2661,Refund Request,1/30/2024,,Open,Low
299,2153,Payment Issue,6/13/2024,,Open,Low
300,2076,Login Issue,1/3/2024,1/9/2024,Closed,Medium
301,2707,Account Update,1/9/2024,,Open,High
302,3777,Technical Bug,1/8/2024,,In Progress,Low
303,2695,Login Issue,1/9/2024,1/13/2024,Closed,Medium
304,2733,Login Issue,4/29/2024,,Open,High
305,2439,Payment Issue,5/24/2024,5/25/2024,Closed,High
306,3294,Account Update,5/31/2024,6/1/2024,Closed,Medium
307,1835,Technical Bug,5/21/2024,,Open,Low
308,4510,Account Update,3/20/2024,3/24/2024,Closed,Low
309,1202,Payment Issue,1/18/2024,,In Progress,Low
310,4255,Refund Request,6/15/2024,6/22/2024,Closed,Medium
311,1122,Login Issue,4/25/2024,4/29/2024,Closed,Medium
312,1400,Technical Bug,6/23/2024,6/26/2024,Closed,Medium
313,1766,Refund Request,1/27/2024,,Open,Low
314,1293,Payment Issue,4/1/2024,,Open,Low
315,3327,Account Update,3/11/2024,,In Progress,High
316,4908,Login Issue,2/3/2024,,In Progress,High
317,3931,Technical Bug,4/12/2024,,Open,Medium
318,4681,Refund Request,5/26/2024,6/3/2024,Closed,Low
319,1197,Refund Request,5/13/2024,,In Progress,High
320,4029,Login Issue,6/6/2024,,Open,Low
321,2930,Account Update,4/1/2024,,Open,Medium
322,4582,Payment Issue,5/19/2024,,In Progress,Low
323,3799,Account Update,5/22/2024,5/26/2024,Closed,Medium
324,3191,Account Update,4/18/2024,,Open,Medium
325,1608,Account Update,6/15/2024,6/19/2024,Closed,High
326,4272,Login Issue,4/12/2024,,Open,Medium
327,2147,Login Issue,3/4/2024,3/5/2024,Closed,High
328,1186,Payment Issue,3/4/2024,3/14/2024,Closed,Medium
329,4397,Account Update,1/15/2024,1/16/2024,Closed,Medium
330,3511,Login Issue,4/9/2024,4/11/2024,Closed,Low
331,4420,Payment Issue,3/7/2024,3/13/2024,Closed,Low
332,2794,Payment Issue,1/1/2024,,Open,Medium
333,1659,Account Update,1/7/2024,,Open,High
334,3811,Technical Bug,5/16/2024,,In Progress,Low
335,4002,Account Update,1/1/2024,1/5/2024,Closed,Low
336,2955,Technical Bug,1/5/2024,,Open,Low
337,3450,Payment Issue,2/16/2024,2/22/2024,Closed,High
338,2369,Login Issue,4/9/2024,,In Progress,Low
339,2986,Refund Request,1/10/2024,1/16/2024,Closed,Low
340,2534,Payment Issue,1/2/2024,1/4/2024,Closed,Low
341,1146,Login Issue,1/23/2024,,Open,Low
342,4219,Payment Issue,4/12/2024,,Open,Medium
343,3911,Account Update,5/26/2024,,In Progress,High
344,2734,Technical Bug,6/14/2024,6/24/2024,Closed,Low
345,2843,Payment Issue,2/16/2024,2/21/2024,Closed,Low
346,1488,Login Issue,3/24/2024,,In Progress,High
347,3976,Account Update,6/28/2024,,In Progress,High
348,2959,Refund Request,2/18/2024,,Open,Low
349,2663,Account Update,5/30/2024,,Open,Low
350,3598,Technical Bug,2/19/2024,2/21/2024,Closed,High
351,3385,Account Update,1/17/2024,,Open,Medium
352,3919,Refund Request,2/17/2024,2/21/2024,Closed,High
353,1640,Login Issue,4/30/2024,,In Progress,Low
354,2802,Payment Issue,1/2/2024,1/12/2024,Closed,Medium
355,3520,Technical Bug,3/25/2024,,Open,Medium
356,2969,Refund Request,1/13/2024,,Open,High
357,3198,Technical Bug,3/1/2024,3/9/2024,Closed,High
358,2438,Account Update,1/11/2024,,In Progress,Low
359,4369,Technical Bug,4/6/2024,4/14/2024,Closed,Medium
360,2634,Refund Request,1/27/2024,,Open,Low
361,1262,Payment Issue,2/4/2024,,Open,High
362,2787,Payment Issue,1/18/2024,,In Progress,Medium
363,3191,Technical Bug,3/8/2024,3/11/2024,Closed,High
364,3393,Login Issue,2/10/2024,,In Progress,Low
365,1623,Technical Bug,4/5/2024,4/11/2024,Closed,Low
366,2016,Account Update,6/19/2024,6/25/2024,Closed,Low
367,4643,Payment Issue,6/25/2024,,Open,Low
368,1880,Payment Issue,5/18/2024,5/25/2024,Closed,Low
369,3049,Payment Issue,3/7/2024,3/17/2024,Closed,High
370,3944,Login Issue,6/27/2024,,In Progress,Medium
371,2327,Login Issue,2/21/2024,,Open,Medium
372,3301,Refund Request,4/28/2024,,Open,High
373,4723,Technical Bug,3/25/2024,4/3/2024,Closed,High
374,1452,Technical Bug,6/19/2024,,Open,Medium
375,4108,Account Update,3/10/2024,3/16/2024,Closed,Low
376,2183,Payment Issue,6/5/2024,,Open,Low
377,4062,Login Issue,6/7/2024,,Open,Medium
378,3056,Account Update,1/28/2024,2/4/2024,Closed,Medium
379,4304,Account Update,4/16/2024,4/26/2024,Closed,Medium
380,4170,Login Issue,6/26/2024,7/4/2024,Closed,Medium
381,2682,Technical Bug,2/5/2024,,Open,High
382,3863,Payment Issue,4/1/2024,,In Progress,High
383,3255,Technical Bug,5/26/2024,,Open,High
384,2154,Account Update,1/12/2024,,Open,High
385,1403,Payment Issue,3/16/2024,3/17/2024,Closed,Low
386,3199,Refund Request,1/24/2024,,Open,Low
387,3101,Account Update,3/5/2024,3/14/2024,Closed,Medium
388,4191,Technical Bug,4/1/2024,,In Progress,Medium
389,2696,Technical Bug,3/20/2024,3/28/2024,Closed,Medium
390,4991,Technical Bug,5/28/2024,6/6/2024,Closed,Low
391,1627,Login Issue,4/7/2024,4/9/2024,Closed,High
392,1586,Account Update,1/26/2024,,Open,Low
393,2648,Payment Issue,4/27/2024,5/6/2024,Closed,High
394,2443,Technical Bug,6/11/2024,6/15/2024,Closed,Medium
395,2445,Technical Bug,3/20/2024,,In Progress,Low
396,1103,Login Issue,2/27/2024,,Open,Low
397,4923,Payment Issue,6/18/2024,6/22/2024,Closed,Low
398,1253,Account Update,6/5/2024,,In Progress,Low
399,4298,Refund Request,6/5/2024,6/9/2024,Closed,Medium
400,4183,Login Issue,5/16/2024,,In Progress,Low
401,3557,Account Update,3/18/2024,3/22/2024,Closed,High
402,2496,Refund Request,4/30/2024,5/8/2024,Closed,Low
403,1098,Technical Bug,3/12/2024,,In Progress,Low
404,3200,Technical Bug,1/2/2024,,Open,High
405,2884,Payment Issue,1/2/2024,,Open,Medium
406,3961,Refund Request,4/20/2024,4/27/2024,Closed,Medium
407,2919,Technical Bug,5/25/2024,5/27/2024,Closed,Low
408,1877,Technical Bug,3/9/2024,,In Progress,Low
409,1337,Payment Issue,5/1/2024,,In Progress,Low
410,4777,Account Update,5/30/2024,,In Progress,Medium
411,3869,Technical Bug,1/19/2024,,Open,Low
412,4234,Login Issue,1/19/2024,1/22/2024,Closed,Medium
413,4791,Login Issue,4/21/2024,4/22/2024,Closed,High
414,1956,Account Update,6/25/2024,,In Progress,Low
415,2704,Refund Request,6/21/2024,6/27/2024,Closed,High
416,1160,Payment Issue,1/28/2024,,Open,Low
417,2603,Login Issue,3/15/2024,,In Progress,High
418,3848,Login Issue,2/19/2024,2/29/2024,Closed,High
419,1397,Account Update,5/18/2024,5/26/2024,Closed,Low
420,2300,Refund Request,2/24/2024,3/1/2024,Closed,High
421,1815,Refund Request,5/16/2024,5/23/2024,Closed,Medium
422,4987,Account Update,5/21/2024,5/23/2024,Closed,Low
423,2527,Login Issue,4/22/2024,4/27/2024,Closed,Medium
424,2919,Payment Issue,5/28/2024,6/3/2024,Closed,High
425,2415,Login Issue,2/17/2024,,Open,High
426,2158,Refund Request,2/27/2024,3/7/2024,Closed,Low
427,2218,Login Issue,5/16/2024,5/23/2024,Closed,Medium
428,1400,Payment Issue,1/18/2024,1/22/2024,Closed,Low
429,1639,Technical Bug,1/12/2024,1/14/2024,Closed,Medium
430,4104,Login Issue,5/3/2024,5/10/2024,Closed,Medium
431,3735,Account Update,1/16/2024,1/18/2024,Closed,Low
432,1459,Technical Bug,6/13/2024,6/16/2024,Closed,Medium
433,1954,Account Update,5/27/2024,6/3/2024,Closed,High
434,4954,Account Update,1/20/2024,1/23/2024,Closed,Medium
435,1469,Account Update,5/22/2024,6/1/2024,Closed,High
436,4446,Login Issue,1/25/2024,1/27/2024,Closed,Low
437,2045,Refund Request,5/24/2024,,Open,High
438,3797,Technical Bug,1/12/2024,,In Progress,Low
439,2693,Payment Issue,4/18/2024,,In Progress,Medium
440,3085,Refund Request,6/18/2024,6/25/2024,Closed,Medium
441,3277,Login Issue,2/8/2024,2/10/2024,Closed,High
442,4436,Account Update,3/11/2024,,In Progress,Low
443,1562,Payment Issue,2/16/2024,,Open,Medium
444,3485,Technical Bug,1/25/2024,1/31/2024,Closed,Medium
445,2799,Refund Request,6/26/2024,,Open,Low
446,4354,Refund Request,4/27/2024,5/5/2024,Closed,Medium
447,3074,Payment Issue,2/2/2024,,In Progress,Low
448,1225,Login Issue,1/29/2024,2/7/2024,Closed,Low
449,4348,Technical Bug,1/3/2024,1/4/2024,Closed,Low
450,1797,Payment Issue,2/8/2024,,In Progress,Low
451,4680,Account Update,1/4/2024,1/13/2024,Closed,High
452,3331,Technical Bug,6/13/2024,6/15/2024,Closed,Medium
453,3926,Refund Request,4/4/2024,4/8/2024,Closed,Medium
454,1959,Payment Issue,5/13/2024,5/17/2024,Closed,Low
455,2504,Refund Request,5/17/2024,,In Progress,Low
456,1452,Refund Request,1/12/2024,,In Progress,Medium
457,4067,Refund Request,4/27/2024,4/30/2024,Closed,Low
458,4900,Login Issue,3/6/2024,3/16/2024,Closed,High
459,1815,Refund Request,5/10/2024,,Open,High
460,1658,Account Update,3/4/2024,,In Progress,High
461,4587,Account Update,2/4/2024,2/10/2024,Closed,Medium
462,1546,Technical Bug,5/31/2024,6/10/2024,Closed,Medium
463,2215,Refund Request,6/23/2024,,Open,High
464,4120,Refund Request,4/21/2024,,In Progress,Medium
465,4583,Payment Issue,2/21/2024,,Open,Medium
466,1016,Login Issue,2/3/2024,,Open,Medium
467,4243,Technical Bug,3/24/2024,4/1/2024,Closed,Medium
468,2243,Refund Request,3/20/2024,3/28/2024,Closed,Medium
469,3205,Payment Issue,4/20/2024,4/24/2024,Closed,Medium
470,3524,Login Issue,6/1/2024,6/10/2024,Closed,Medium
471,2069,Technical Bug,6/5/2024,6/12/2024,Closed,High
472,4444,Technical Bug,4/1/2024,,Open,Medium
473,3565,Refund Request,2/10/2024,,Open,Medium
474,3146,Technical Bug,3/27/2024,,In Progress,Low
475,4963,Payment Issue,2/20/2024,,Open,High
